Education,ادارة التعليم
Public,عام
LMS,نظام ادارة التدريب
Home,الرئيسية
Accounting,المحاسبة
Buying,المشتريات
Selling,المبيعات
Stock,المخزون
Projects,المشاريع
Users,مستخدمي النظام
Tools,الادوات
Your Shortcuts,الاختصارات
Student,الطلبة
Instructor,المدرسين
Active,نشط
Program,البرامج
Course,الدوراة
Fees,الرسوم
Unpaid,غير مدفوع
Paid,مدفوع
Student Monthly Attendance Sheet,قوائم حضور الطلبة الشهرية
Course Scheduling Tool,اداة جدولة الدورات
Student Attendance Tool,اداة تسجيل حضور الطلبة
Dashboard,لوحة التحكم
Reports & Masters,التقارير و القوائم الرئيسية
Student and Instructor,الطلبة و المدرسين
Instructor,المدرسين
Guardian,اولياء الامر
Student Group,مجموعات الطلبة
Student Log,سجل الطلبة
Masters,القوائم الرئيسية
Topic,الموضوع
Room,الصفوف
Content Masters,رئيسية المحتوى التعليمي
Article,المواضيع و المقالات
Video,الفيديو
Quiz,الاختبارات القصيرة
Settings,الاعدادات
Education Settings,اعدادات ادارة  التعليم
Student Category,تصنيف الطلبة
Student Batch Name,مسميات دفعات الطلبة
Grading Scale,مقاييس الدرجات
Academic Term,الفصل الدراسي
Academic Year,السنة الدراسية
Admission,القبول و التسجيل
Student Applicant,الطلبة المتقدمين للتسجيل
Student Admission,تسجيل الطلبة
Program Enrollment,الالتحاق بالبرامج
Course Enrollment,الالتحاق بالدوراة
Fee Structure,هيكلية الرسوم
Fee Category,اصناف الرسوم
Fee Schedule,جداول الرسوم
Student Fee Collection Report,تقرير تحصيل رسوم الطلبة
Program wise Fee Collection Report,تقرير تحصيل الرسوم للبرامج
Schedule,الجداول
Course Schedule,جدول الدورات
Course Scheduling Tool,اداة جدولة الدورات
Attendance,الحضور
Student Attendance,حضور الطلبة
Student Leave Application,طلبات العطلة للطلبة
Absent Student Report,تقرير غياب الطلبة
Student Batch-Wise Attendance,تقرير حضور الطلبة حسب الدفعة
Course Enrollment,الالتحاق بالدورات
Course Activity,انشطة الدورات
Quiz Activity,انشطة الاختبارات القصيرة
Assessment,التقييم
Assessment Plan,خطة التقييم
Assessment Group,مجموعات التقييم
Assessment Result,نتائج التقييم
Assessment Criteria,معايير التقييم
Assessment Reports,تقارير التقييم
Course wise Assessment Report,تقرير تقييم الدورات
Final Assessment Grades,التقييم النهائي للدرجات
Assessment Plan Status,حالة خطة التقييم
Student Report Generation Tool,اداة اصدار تقارير الطلبة
Student Attendance Tool,اداة حضور الطلبة
Assessment Result Tool,اداة نتائج التقييم
Student Group Creation Tool,اداة اعداد مجموعات الطلبة
Program Enrollment Tool,اداة الالتحاق بالبرامج
Course Scheduling Tool,اداة جدولة الدورات
Other Reports,تقارير اخرى
Student and Guardian Contact Details,تفاصيل وسائل التواصل مع الطلبة و اولياء الامور